slug,nom,page_url,logo_url,description_courte
bbs,BBS,https://open.pf/adherents/bbs/,https://open.pf/wp-content/uploads/2025/09/BBS-Logo-Simple-2BTrame-1200x1200.jpg,"Accompagnement entreprises et institutions du fenua sur la gestion complète de SI : ingénierie systèmes et réseaux, assistance utilisateurs, cybersécurité et conseil stratégique."
clusir-tahiti,CLUSIR Tahiti,https://open.pf/adherents/clusir-tahiti/,https://open.pf/wp-content/uploads/2025/07/326535350_711841490478657_2673823807400474931_n-1200x661.png,"Club de la Sécurité de l'Information Région Tahiti — association de professionnels pour l'entraide, le partage d'expériences et les bonnes pratiques de la sécurité de l'information."
oraclia-sas,"ORACLIA, SAS",https://open.pf/adherents/oraclia-sas/,https://open.pf/wp-content/uploads/2025/07/Design-sans-titre.png,"Transforme l'intelligence artificielle en levier stratégique aussi naturel et indispensable que l'utilisation quotidienne des outils de travail."
fenua-online,Fenua online,https://open.pf/adherents/fenua-online/,https://open.pf/wp-content/uploads/2025/07/google-business-720x720-1.png,"Sites internet, solutions en ligne et ingénierie informatique sur Tahiti. Produits clés-en-main personnalisables par le service d'ingénierie logicielle."
galatea,GALATEA,https://open.pf/adherents/galatea/,https://open.pf/wp-content/uploads/2025/05/Galatea-Io-Logo-2.png,"Spécialisée dans la mesure, la collecte de données et le pilotage d'équipements à distance."
rbcs-it-advisory,RBCS – IT Advisory,https://open.pf/adherents/rbcs-it-advisory/,https://open.pf/wp-content/uploads/2025/04/Signature-1.png,"Accompagnement en transformation numérique et optimisation du SI. Approche pragmatique orientée résultats."
foxit,FOXIT,https://open.pf/adherents/foxit/,https://open.pf/wp-content/uploads/2025/04/TRANSPA_LOGO_FOXIT_2020-1200x1234.png,"Entreprise polynésienne spécialiste en Cybersécurité et Sécurité des SI, intervient APAC, France Métropolitaine et DOM-TOM."
delta-consulting,DELTA Consulting,https://open.pf/adherents/delta-consulting/,https://open.pf/wp-content/uploads/2025/04/DELTA_2.3.png,"Partenaire de confiance pour la transformation digitale. De la conception à la mise en œuvre, optimisation de la performance et accompagnement de l'évolution."
socredo,SOCREDO,https://open.pf/adherents/socredo/,,"Créée en 1959, première banque de Polynésie française. Services bancaires et financiers efficaces et adaptés aux particuliers comme aux entreprises depuis 60 ans."
mana-cyber-pacifique,MANA CYBER PACIFIQUE,https://open.pf/adherents/mana-cyber-pacifique/,https://open.pf/wp-content/uploads/2024/12/FullLogo-1200x960.png,"Spécialisée dans l'audit, le conseil et l'accompagnement en cybersécurité, gestion des risques numériques, et conformité RGPD en Polynésie."
numeri,NŪMERI,https://open.pf/adherents/numeri/,https://open.pf/wp-content/uploads/2024/12/logo.png,"Fruit de l'association des compétences d'IDT (Innovative Digital Technologies) et du Groupe SF2i."
cnam-polynesie,Cnam Polynésie,https://open.pf/adherents/cnam-polynesie/,https://open.pf/wp-content/uploads/2024/12/logo_fb.jpg,"Présent depuis 1978 en Polynésie pour permettre aux habitants de suivre des formations de l'enseignement supérieur en présentiel, distanciel ou hybride."
fortitude-services,FORTITUDE SERVICES,https://open.pf/adherents/fortitude-services/,https://open.pf/wp-content/uploads/2024/10/Logo_Facebook-1200x1200.png,"Cabinet de conseil en gestion des risques et protection des entreprises : audit de risques, sensibilisation, gestion de crise, assurance cyber."
